Config;Score
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=150.0, id=2.1, particle_size=1.8, temperature=40.0, flowrate=0.28, t0=1.18125))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.8, temperature=30.0, flowrate=0.3, t0=0.735))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=150.0, id=2.1, particle_size=1.7, temperature=30.0, flowrate=0.4, t0=0.8268749999999999))';1,00001E+16
'Config(eluyente1=None, eluyente2=eluent.2.acn 0, columna=Column(name=Hichrom Alltima HP C18, usp_code=column.usp.code_L1, length=150.0, id=2.1, particle_size=3.0, temperature=38.90990990990991, flowrate=0.2, t0=1.6537499999999998))';1,00024E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=98.03921568627452, id=2.056862745098039, particle_size=1.7, temperature=38.0, flowrate=0.24, t0=0.895845316696432))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=150.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.4, t0=0.8268749999999999))';1,00013E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters XBridge C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=3.5, temperature=30.0, flowrate=0.2, t0=0.55125))';0
'Config(eluyente1=None, eluyente2=None, columna=Column(name=Merck SeQuant ZIC-pHILIC, usp_code=column.usp.code_L122, length=100.0, id=2.1, particle_size=5.0, temperature=25.0, flowrate=0.2266666666666666, t0=1.0085205416402705))';1,00097E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters Symmetry C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.939114724480578, temperature=38.800043464517145, flowrate=0.3379565217391304, t0=0.6764124221130337))';1,00051E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Thermo Scientific Hypersil GOLD, usp_code=column.usp.code_L1, length=200.0, id=2.1, particle_size=1.9, temperature=40.0, flowrate=0.4, t0=1.1025))';1,0001E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Synergi Hydro-RP, usp_code=column.usp.code_L1, length=150.0, id=2.0, particle_size=4.0, temperature=30.0, flowrate=0.5, t0=0.6))';1,00062E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH Shield RP18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=30.0, flowrate=0.6, t0=0.3675))';1,00078E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Luna Omega Polar C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.6, temperature=40.0, flowrate=0.5, t0=0.441))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Luna Omega Polar C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.6, temperature=40.0, flowrate=0.5, t0=0.441))';1,00005E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Luna C18, usp_code=column.usp.code_L1, length=150.0, id=4.6, particle_size=3.0, temperature=25.0, flowrate=0.5, t0=3.1739999999999995))';1,00012E+15
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=0, usp_code=column.usp.code_0, length=50.0, id=0.5, particle_size=2.7, temperature=35.0, flowrate=0.01, t0=0.625))';1,00001E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=0, usp_code=column.usp.code_0, length=100.0, id=0.5, particle_size=2.7, temperature=45.0, flowrate=0.015, t0=0.8333333333333334))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Merck Supelco SUPELCOSIL LC-C18, usp_code=column.usp.code_L1, length=250.0, id=4.6, particle_size=5.0, temperature=40.0, flowrate=1.0, t0=2.645))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PFP, usp_code=column.usp.code_L43, length=100.0, id=4.6, particle_size=2.6, temperature=35.0, flowrate=1.5, t0=0.705333333))';0
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters Atlantis T3, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=3.0, temperature=40.0, flowrate=0.3, t0=0.735))';10
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Merck LiChrospher RP-18, usp_code=column.usp.code_L1, length=250.0, id=4.0, particle_size=5.0, temperature=35.0, flowrate=0.3, t0=6.666666666666667))';1,00011E+16
'Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH Shield RP18, usp_code=column.usp.code_L1, length=150.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.4, t0=0.8268749999999999))';10
