familia; eluyente1; eluyente2; columna_nombre; columna_usp_code; columna_length; columna_id; columna_particle_size; columna_temperature; columna_flowrate; tiempo_muerto; score
Aryltetralin lignans (CHEMONTID:0003425); eluent.1.h2o 0; eluent.2.acn 0; Agilent ZORBAX Extend-C18; column.usp.code_L1;500;21;18;350;1;11025;0
Aryltetralin lignans (CHEMONTID:0003425); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;4,59202E+16
Aryltetralin lignans (CHEMONTID:0003425); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;0
Benzodithiins (CHEMONTID:0002804); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC HSS T3; column.usp.code_L1;1000;10;18;3875;3,87778E+15;1,33675E+15;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Thermo Scientific Hypersil GOLD; column.usp.code_L1;2000;21;19;400;4;11025;8,39891E+15
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Phenomenex Synergi Hydro-RP; column.usp.code_L1;1500;20;40;300;5;6;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH Shield RP18; column.usp.code_L1;1000;21;17;300;6;3675;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Phenomenex Luna Omega Polar C18; column.usp.code_L1;1000;21;16;400;5;441;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Phenomenex Luna Omega Polar C18; column.usp.code_L1;1000;21;16;400;5;441;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Phenomenex Luna C18; column.usp.code_L1;1500;46;30;250;5;3,174E+16;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; 0; column.usp.code_0;500;5;27;350;1;625;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH Shield RP18; column.usp.code_L1;1500;21;17;400;4;8,26875E+15;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.meoh 0; Agilent ZORBAX Eclipse XDB-C18; column.usp.code_L1;1000;21;18;500;4;55125;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC HSS T3; column.usp.code_L1;1000;21;18;300;4;55125;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Agilent InfinityLab Poroshell 120 EC-C18; column.usp.code_L1;1000;30;27;250;4;1125;6,7004E+15
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; None; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;1000;21;17;650;4;55125;8,80347E+15
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;0
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;6,08474E+15
Furanoid lignans (CHEMONTID:0003686); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;8,76458E+15
Neoflavonoids (CHEMONTID:0001614); eluent.1.h2o 0; eluent.2.acn 0; Agilent ZORBAX Extend-C18; column.usp.code_L1;500;21;18;350;1;11025;9,01894E+15
Neoflavonoids (CHEMONTID:0001614); eluent.1.h2o 0; eluent.2.meoh 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;1000;10;17;500;3;1,66667E+15;0
Neoflavonoids (CHEMONTID:0001614); eluent.1.h2o 0; None; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;1000;10;17;500;3;1,66667E+15;1,00037E+16
Neoflavonoids (CHEMONTID:0001614); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;8,79677E+15
Neoflavonoids (CHEMONTID:0001614); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;500;21;17;400;6;18375;4,63136E+16
Tetrazines (CHEMONTID:0000092); eluent.1.h2o 0; eluent.2.acn 0; Agilent ZORBAX Extend-C18; column.usp.code_L1;500;21;18;350;1;11025;0
Allyl-type 1-3-dipolar organic compounds (CHEMONTID:0003631); eluent.1.h2o 0; eluent.2.acn 0; Waters ACQUITY UPLC BEH C18; column.usp.code_L1;9,80392E+15;2,05686E+15;17;380;24;8,95845E+14;2,16699E+15
