familia, eluyente1, eluyente2, columna_nombre, columna_usp_code, columna_length, columna_id, columna_particle_size, columna_temperature, columna_flowrate, tiempo_muerto, score

Aryltetralin lignans (CHEMONTID:0003425), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0

Aryltetralin lignans (CHEMONTID:0003425), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.45920163244484125

Aryltetralin lignans (CHEMONTID:0003425), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0

Benzodithiins (CHEMONTID:0002804), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC HSS T3, column.usp.code_L1, 100.0, 1.0, 1.8, 38.75, 0.3877777777777778, 0.1336752174951531, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Thermo Scientific Hypersil GOLD, column.usp.code_L1, 200.0, 2.1, 1.9, 40.0, 0.4, 1.1025, 0.8398905234348273

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Synergi Hydro-RP, column.usp.code_L1, 150.0, 2.0, 4.0, 30.0, 0.5, 0.6, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH Shield RP18, column.usp.code_L1, 100.0, 2.1, 1.7, 30.0, 0.6, 0.3675, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Luna Omega Polar C18, column.usp.code_L1, 100.0, 2.1, 1.6, 40.0, 0.5, 0.441, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Luna Omega Polar C18, column.usp.code_L1, 100.0, 2.1, 1.6, 40.0, 0.5, 0.441, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Luna C18, column.usp.code_L1, 150.0, 4.6, 3.0, 25.0, 0.5, 3.1739999999999995, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, 0, column.usp.code_0, 50.0, 0.5, 2.7, 35.0, 0.01, 0.625, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH Shield RP18, column.usp.code_L1, 150.0, 2.1, 1.7, 40.0, 0.4, 0.8268749999999999, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.meoh 0, Agilent ZORBAX Eclipse XDB-C18, column.usp.code_L1, 100.0, 2.1, 1.8, 50.0, 0.4, 0.55125, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC HSS T3, column.usp.code_L1, 100.0, 2.1, 1.8, 30.0, 0.4, 0.55125, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Agilent InfinityLab Poroshell 120 EC-C18, column.usp.code_L1, 100.0, 3.0, 2.7, 25.0, 0.4, 1.125, 0.6700398650720638

