
Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=65.0, flowrate=0.4, t0=0.55125))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent InfinityLab Poroshell 120 EC-C18, usp_code=column.usp.code_L1, length=100.0, id=3.0, particle_size=2.7, temperature=25.0, flowrate=0.4, t0=1.125))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent InfinityLab Poroshell 120 EC-C18, usp_code=column.usp.code_L1, length=100.0, id=3.0, particle_size=2.7, temperature=25.0, flowrate=0.4, t0=1.125))

